fips,year,month,total_deaths,sex_1,sex_2
11020,2016,10,4,3,1
11020,2016,11,2,1,1
11020,2016,12,3,3,0
11020,2017,1,4,4,0
11020,2017,2,4,3,1
11020,2017,3,2,1,1
11020,2017,4,1,1,0
11020,2017,5,3,2,1
11020,2017,6,4,3,1
11020,2017,7,1,1,0
11020,2017,8,2,1,1
11020,2017,9,1,1,0
11020,2017,10,2,2,0
11020,2017,11,1,0,1
11020,2017,12,2,1,1
11020,2018,1,2,1,1
11020,2018,2,3,2,1
11020,2018,3,4,4,0
11020,2018,4,2,1,1
11020,2018,5,1,0,1
11020,2018,6,3,2,1
11020,2018,7,2,1,1
11020,2018,8,1,1,0
11020,2018,9,1,1,0
11020,2018,10,1,1,0
11020,2018,11,3,2,1
11020,2018,12,1,1,0
11020,2019,1,1,1,0
11020,2019,2,2,2,0
11020,2019,3,4,2,2
11020,2019,4,2,2,0
11020,2019,5,1,1,0
11020,2019,6,3,3,0
11020,2019,7,3,3,0
11020,2019,8,2,2,0
11020,2019,9,1,0,1
11020,2019,10,2,0,2
11020,2019,11,2,2,0
11020,2019,12,2,2,0
11020,2020,1,2,2,0
11020,2020,6,4,2,2
11020,2020,7,4,3,1
11020,2020,8,1,1,0
11020,2020,9,2,1,1
11020,2020,10,3,1,2
11020,2020,11,1,1,0
11020,2020,12,3,2,1
11020,2021,1,4,3,1
11020,2021,2,1,0,1
11020,2021,3,1,1,0
11020,2021,4,2,2,0
11020,2021,5,3,1,2
11020,2021,6,3,3,0
11020,2021,7,3,1,2
11020,2021,9,3,3,0
11020,2021,10,1,0,1
11020,2021,11,2,2,0
11020,2021,12,3,3,0
11020,2022,2,3,2,1
11020,2022,3,1,1,0
11020,2022,4,3,3,0
11020,2022,5,2,1,1
11020,2022,6,5,4,1
11020,2022,7,2,2,0
11020,2022,8,1,1,0
11020,2022,9,5,3,2
11020,2022,10,2,2,0
11020,2022,11,4,3,1
11020,2022,12,2,1,1
11020,2023,1,2,2,0
11020,2023,3,4,2,2
11020,2023,4,3,1,2
11020,2023,5,7,6,1
11020,2023,6,2,1,1
11020,2023,7,4,3,1
11020,2023,8,2,2,0
11020,2023,9,3,2,1
11020,2023,10,3,1,2
11020,2023,11,2,2,0
11020,2023,12,3,3,0
11020,2024,1,2,0,2
11020,2024,2,3,3,0
11020,2024,3,3,2,1
11020,2024,4,2,2,0
11020,2024,5,4,2,2
11020,2024,6,4,2,2
11020,2024,7,4,2,2
11020,2024,8,3,1,2
11020,2024,10,4,3,1
11020,2024,11,2,2,0
11020,2024,12,1,1,0
11030,1997,1,2,2,0
11030,1997,2,3,3,0
11030,1997,3,1,1,0
11030,1997,4,1,1,0
11030,1997,5,3,1,2
11030,1997,6,1,0,1
11030,1997,7,1,1,0
11030,1997,8,3,3,0
11030,1997,9,3,2,1
11030,1997,10,7,5,2
11030,1997,11,4,3,1
11030,1997,12,2,2,0
11030,1998,1,2,1,1
11030,1998,2,1,1,0
11030,1998,3,5,4,1
11030,1998,4,6,5,1
11030,1998,5,3,3,0
11030,1998,6,1,0,1
11030,1998,7,4,4,0
11030,1998,8,5,4,1
11030,1998,9,4,3,1
11030,1998,10,1,0,1
11030,1998,11,3,1,2
11030,1998,12,5,2,3
11030,1999,1,2,1,1
11030,1999,3,4,3,1
11030,1999,4,1,1,0
11030,1999,5,3,3,0
11030,1999,6,4,2,2
11030,1999,7,4,3,1
11030,1999,8,4,2,2
11030,2000,2,2,1,1
11030,2000,3,3,3,0
11030,2000,4,5,3,2
11030,2000,5,3,1,2
11030,2000,6,2,2,0
11030,2000,7,4,4,0
11030,2000,9,3,2,1
11030,2000,10,1,1,0
11030,2000,11,1,1,0
11030,2001,2,1,1,0
11030,2001,3,1,0,1
11030,2001,4,5,5,0
11030,2001,5,5,3,2
11030,2001,6,1,1,0
11030,2001,7,2,2,0
11030,2001,8,4,4,0
11030,2001,11,3,3,0
11030,2002,1,4,3,1
11030,2002,2,7,4,3
11030,2002,3,5,5,0
11030,2002,4,5,4,1
11030,2002,5,4,3,1
11030,2002,6,3,1,2
11030,2002,7,2,1,1
11030,2002,8,3,2,1
11030,2002,9,2,1,1
11030,2002,10,5,3,2
11030,2002,11,2,1,1
11030,2002,12,3,3,0
11030,2003,1,1,1,0
11030,2003,2,5,4,1
11030,2003,3,3,3,0
11030,2003,4,5,4,1
11030,2003,5,4,3,1
11030,2003,6,6,1,5
11030,2003,7,5,2,3
11030,2003,8,5,4,1
11030,2003,9,5,2,3
11030,2003,10,5,4,1
11030,2003,11,1,1,0
11030,2004,1,1,1,0
11030,2004,2,3,3,0
11030,2004,3,8,5,3
11030,2004,4,2,1,1
11030,2004,5,3,3,0
11030,2004,6,2,1,1
11030,2004,7,6,6,0
11030,2004,8,7,6,1
11030,2004,9,4,3,1
11030,2004,10,5,3,2
11030,2004,11,4,3,1
11030,2004,12,3,3,0
11030,2005,1,3,2,1
11030,2005,2,4,3,1
11030,2005,3,5,2,3
11030,2005,4,5,4,1
11030,2005,5,5,3,2
11030,2005,6,6,6,0
11030,2005,7,10,6,4
11030,2005,8,3,3,0
11030,2005,9,4,2,2
11030,2005,10,7,4,3
11030,2005,11,3,1,2
11030,2005,12,6,4,2
11030,2006,1,1,0,1
11030,2006,2,5,4,1
11030,2006,3,3,2,1
11030,2006,4,5,5,0
11030,2006,5,5,4,1
11030,2006,6,5,3,2
11030,2006,7,4,2,2
11030,2006,8,3,2,1
11030,2006,9,3,2,1
11030,2006,10,4,1,3
11030,2006,11,2,2,0
11030,2006,12,3,3,0
11030,2007,1,2,2,0
11030,2007,2,7,2,5
11030,2007,3,4,1,3
11030,2007,4,8,8,0
11030,2007,5,3,2,1
11030,2007,6,4,2,2
11030,2007,7,9,9,0
11030,2007,8,7,4,3
11030,2007,9,4,3,1
11030,2007,10,3,0,3
11030,2007,11,4,3,1
11030,2007,12,3,0,3
11030,2008,1,3,3,0
11030,2008,2,4,2,2
11030,2008,3,3,2,1
11030,2008,4,9,3,6
11030,2008,5,3,2,1
11030,2008,6,2,2,0
11030,2008,7,3,3,0
11030,2008,8,1,1,0
11030,2008,9,4,3,1
11030,2008,10,10,3,7
11030,2008,11,9,4,5
11030,2008,12,4,2,2
11030,2009,1,2,1,1
11030,2009,2,8,8,0
11030,2009,3,7,3,4
11030,2009,4,4,1,3
11030,2009,5,6,3,3
11030,2009,6,8,6,2
11030,2009,7,10,6,4
11030,2009,8,7,3,4
11030,2009,9,3,2,1
11030,2009,10,3,2,1
11030,2009,11,3,2,1
11030,2009,12,6,4,2
11030,2010,1,4,0,4
11030,2010,2,1,1,0
11030,2010,3,7,3,4
11030,2010,4,6,4,2
11030,2010,5,4,2,2
11030,2010,6,5,3,2
11030,2010,7,9,7,2
11030,2010,8,5,4,1
11030,2010,9,7,6,1
11030,2010,10,4,3,1
11030,2010,11,3,2,1
11030,2010,12,5,4,1
11030,2011,1,5,5,0
11030,2011,2,2,2,0
11030,2011,3,7,6,1
11030,2011,4,4,3,1
11030,2011,5,8,7,1
11030,2011,6,5,4,1
11030,2011,7,4,3,1
11030,2011,8,12,9,3
11030,2011,9,6,4,2
11030,2011,10,4,2,2
11030,2011,11,8,6,2
11030,2011,12,7,6,1
11030,2012,1,8,6,2
11030,2012,2,2,1,1
11030,2012,3,5,3,2
11030,2012,4,6,3,3
11030,2012,5,6,1,5
11030,2012,6,6,5,1
11030,2012,7,3,2,1
11030,2012,8,5,3,2
11030,2012,9,5,3,2
11030,2012,10,8,5,3
11030,2012,11,7,4,3
11030,2012,12,2,1,1
11030,2013,1,4,3,1
11030,2013,2,5,4,1
11030,2013,3,4,3,1
11030,2013,4,7,4,3
11030,2013,5,5,4,1
11030,2013,6,7,5,2
11030,2013,7,6,5,1
11030,2013,8,3,3,0
11030,2013,9,6,5,1
11030,2013,10,6,4,2
11030,2013,12,7,4,3
11030,2014,1,6,4,2
11030,2014,2,3,3,0
11030,2014,3,10,9,1
11030,2014,4,11,10,1
11030,2014,5,3,3,0
11030,2014,6,3,3,0
11030,2014,7,9,6,3
11030,2014,8,4,3,1
11030,2014,9,6,4,2
11030,2014,10,6,4,2
11030,2014,11,3,1,2
11030,2014,12,6,2,4
11030,2015,1,2,1,1
11030,2015,2,2,2,0
11030,2015,3,12,4,8
11030,2015,4,5,2,3
11030,2015,5,5,4,1
11030,2015,6,3,1,2
11030,2015,7,9,7,2
11030,2015,8,10,9,1
11030,2015,9,2,0,2
11030,2015,10,2,2,0
11030,2015,12,1,1,0
11030,2016,1,1,1,0
11030,2016,2,7,4,3
11030,2016,3,6,3,3
11030,2016,4,3,2,1
11030,2016,5,4,3,1
11030,2016,6,3,3,0
11030,2016,7,2,2,0
11030,2016,8,4,4,0
11030,2016,9,11,7,4
11030,2016,10,4,2,2
11030,2016,11,4,1,3
11030,2016,12,4,2,2
11030,2017,1,2,1,1
11030,2017,2,7,5,2
11030,2017,3,3,3,0
11030,2017,4,5,4,1
11030,2017,5,3,2,1
11030,2017,6,2,2,0
11030,2017,7,1,0,1
11030,2017,8,5,2,3
11030,2017,9,6,5,1
11030,2017,10,5,4,1
11030,2017,11,11,6,5
11030,2017,12,2,2,0
11030,2018,1,4,2,2
11030,2018,2,5,2,3
11030,2018,3,5,5,0
11030,2018,4,6,3,3
11030,2018,5,3,2,1
11030,2018,6,3,3,0
